Date,PV_avg (kW),PV_Cluster
2024-09-27,1.5676910564436022,1
2024-09-28,1.1577106674609274,0
2024-09-30,2.4475143877463683,2
2024-10-01,1.592239780599798,1
2024-10-02,1.8507952481607903,1
2024-10-03,1.7621926741912854,1
2024-10-04,1.368516109738516,0
2024-10-05,1.4851323239016934,0
2024-10-06,1.89275830974697,1
2024-10-07,1.7362326672857562,1
2024-10-08,1.1964079901708993,0
2024-10-09,1.214733164113163,0
2024-10-10,1.603515937110399,1
2024-10-11,2.022801590010141,1
2024-10-12,1.220074761603755,0
2024-10-13,1.2907765204434924,0
2024-10-18,1.684912579586244,1
2024-10-20,1.3154701189140172,0
2024-10-23,1.6873335871725048,1
2024-10-24,1.9190585274417833,1
2024-10-25,1.7702617326773689,1
2024-10-26,2.397740283266439,2
2024-10-28,1.324914594949738,0
2024-10-30,2.119777784391198,1
2024-10-31,2.030215066865884,1
2024-11-01,1.6097975220887029,1
2024-11-02,2.071024814260544,2
2024-11-04,1.6611456699721883,1
2024-11-05,0.9880592578811089,0
2024-11-06,1.001557839005561,0
2024-11-07,1.1731636174409694,0
2024-11-08,1.6230487624919578,1
2024-11-09,1.2645991797252272,0
2024-11-10,1.946406141362724,1
2024-11-11,2.020347520114612,1
2024-11-12,1.5838323055694379,1
2024-11-13,1.7796404686741392,1
2024-11-14,1.4064417145389347,0
2024-11-15,0.8221991571503752,0
2024-11-16,1.3489266846882246,0
2024-11-17,0.9217870047275435,0
2024-11-18,2.0385819322437713,2
2024-11-19,2.127108601847077,2
2024-11-20,2.109348782867474,1
2024-11-21,1.741573751105715,1
2024-11-22,1.8831028376970917,1
2024-11-23,1.7295936226577007,1
2024-11-24,1.690358289259407,1
2024-11-25,1.969716137140695,1
2024-11-26,2.119146175591961,1
2024-11-27,1.9269413237949087,1
2024-11-28,2.1587334183734943,1
2024-11-29,1.8345202449735964,1
2024-11-30,2.0823344168918534,1
2024-12-01,1.9726555381031023,1
2024-12-02,1.865234814644471,1
2024-12-05,1.8331164609029258,1
2024-12-06,1.8652755330996675,1
2024-12-07,1.734767406324808,1
2024-12-08,1.1738058088331367,0
2024-12-09,1.479791857658862,0
2024-12-10,1.8503706244392741,1
2024-12-11,1.8392382233927982,1
2024-12-12,1.3603005064517038,0
2024-12-13,0.6970742336922443,0
2024-12-14,0.8026465340214758,0
2024-12-16,1.3735621370963151,0
2024-12-17,1.9680009956013411,1
2024-12-18,1.9744222219706584,1
2024-12-19,1.9983133999552185,1
2024-12-20,1.8082396826734897,1
2024-12-21,1.786740541717193,1
2024-12-22,1.8090107113499436,1
2024-12-23,1.9702389189342617,1
2024-12-24,1.8827865018760281,1
2024-12-25,1.8142483907651925,1
2024-12-26,1.2361987842444264,0
2024-12-27,1.629647175601999,1
2024-12-28,1.603540585442359,1
2024-12-29,1.5846525724352982,1
2024-12-30,1.9527835815228005,1
2024-12-31,1.9367678668605628,1
